,warriner,nrc,cr4_nrc,cr4_nrcbert,cr4_emo
warriner,0.9999999999999999,0.6214598731117786,0.4522371175241944,0.5438867057616306,0.2963535321817644
nrc,0.6214598731117786,0.9999999999999998,0.698395070128289,0.7337921700373216,0.3373911972359759
cr4_nrc,0.4522371175241944,0.698395070128289,1.0,0.6760905136531461,0.33894742652320997
cr4_nrcbert,0.5438867057616306,0.7337921700373216,0.6760905136531461,1.0,0.3785847356187883
cr4_emo,0.2963535321817644,0.3373911972359759,0.33894742652320997,0.3785847356187883,1.0
