channel,probe_a,probe_b,pearson_r,spearman_rho
V,warriner,nrc,0.8105350732803345,0.7854755204843287
V,warriner,cr4_nrc,0.5575067400932312,0.5280703963060099
V,nrc,cr4_nrc,0.673446536064148,0.6659208391880276
A,warriner,nrc,0.7014336585998535,0.6875273568896048
A,warriner,cr4_nrc,0.26146021485328674,0.2472697015451595
A,nrc,cr4_nrc,0.44861558079719543,0.44845871642944385
D,warriner,nrc,0.0979125127196312,0.08752719124941191
D,warriner,cr4_nrc,0.311314195394516,0.28514030253702816
D,nrc,cr4_nrc,0.6828348636627197,0.668248789388781
