,warriner,nrc,cr4_nrc,cr4_nrcbert,cr4_emo
warriner,1.0,0.8180204937541301,0.6256637724413884,0.5257193720818951,0.5413333473999569
nrc,0.8180204937541301,0.9999999999999999,0.7119038345684521,0.6180836198968993,0.5153975876468495
cr4_nrc,0.6256637724413884,0.7119038345684521,0.9999999999999998,0.8696086375722002,0.8233987018500516
cr4_nrcbert,0.5257193720818951,0.6180836198968993,0.8696086375722002,0.9999999999999998,0.8761186139913903
cr4_emo,0.5413333473999569,0.5153975876468495,0.8233987018500516,0.8761186139913903,1.0
