,warriner,nrc,cr4_nrc,cr4_nrcbert,cr4_emo
warriner,1.0,0.1931927630719551,0.430052162691824,-0.04776716305366747,0.1258579751465361
nrc,0.1931927630719551,0.9999999999999999,0.6207288566756813,0.5707178550585159,0.14470985897381483
cr4_nrc,0.430052162691824,0.6207288566756813,0.9999999999999999,0.6482846043582682,0.5000256954517799
cr4_nrcbert,-0.04776716305366747,0.5707178550585159,0.6482846043582682,1.0,0.44321442220242424
cr4_emo,0.1258579751465361,0.14470985897381483,0.5000256954517799,0.44321442220242424,1.0
