,warriner,nrc,cr4_nrc,cr4_nrcbert,cr4_emo
warriner,0.9999999999999998,0.40848414190427146,0.2102985554335271,0.1748983305892068,0.21768485678757127
nrc,0.40848414190427146,0.9999999999999991,0.15095628456024748,0.2649723283528558,0.13712616589342294
cr4_nrc,0.2102985554335271,0.15095628456024748,0.9999999999999999,0.38470648370435045,0.302807971050432
cr4_nrcbert,0.1748983305892068,0.2649723283528558,0.38470648370435045,1.0,0.3501744110366972
cr4_emo,0.21768485678757127,0.13712616589342294,0.302807971050432,0.3501744110366972,1.0
